Node No,K value,Freequency,Avg pathloss(dB),Avg signal power(dBm),Delay,Packet loss
3,6,1130,53.3759,4.53082,0.134848,271
1,6,1140,0,0,0.196248,321
2,6,1140,51.0591,4.29241,0.134176,272
3,6,1140,52.6265,4.95334,0.136752,270
1,6,1150,0,0,0.168352,321
2,6,1150,50.8164,4.59638,0.134848,272
3,6,1150,52.7913,5.18298,0.138992,272
1,6,1160,0,0,0.169248,321
2,6,1160,50.3179,6.29664,0.14056,273
3,6,1160,53.7133,5.3616,0.140832,269
1,6,1170,0,0,0.169248,321
2,6,1170,52.0598,6.3085,0.14432,271
3,6,1170,54.3151,6.02094,0.140896,268
1,6,1180,0,0,0.169248,321
2,6,1180,49.4361,6.18816,0.139328,276
3,6,1180,54.3811,5.81626,0.1428,268
1,6,1190,0,0,0.169248,321
2,6,1190,52.4077,5.76758,0.143008,273
3,6,1190,51.2187,5.29648,0.144448,272
1,6,1200,0,0,0.169248,321
2,6,1200,45.3334,5.55779,0.14432,278
3,6,1200,52.1682,6.41066,0.14504,271
1,6,1210,0,0,0.169248,321
2,6,1210,49.7299,5.43484,0.146688,274
3,6,1210,50.3154,6.59637,0.146816,273
1,6,1220,0,0,0.169248,321
2,6,1220,51.6361,5.92806,0.143664,272
3,6,1220,51.326,6.27304,0.14688,272
1,6,1230,0,0,0.169248,321
2,6,1230,48.714,5.6318,0.149648,275
3,6,1230,51.4863,6.80487,0.148,272
1,6,1240,0,0,0.169248,321
2,6,1240,45.4438,6.53486,0.147824,278
3,6,1240,51.3307,6.57238,0.149248,272
1,6,1250,0,0,0.169248,321
2,6,1250,46.3464,5.69921,0.147808,277
3,6,1250,47.419,6.77445,0.150432,276
1,6,1260,0,0,0.169248,321
2,6,1260,46.7265,4.71632,0.14872,277
3,6,1260,51.4046,6.21101,0.152128,272
1,6,1270,0,0,0.129408,321
2,6,1270,47.8149,7.1447,0.151152,276
3,6,1270,48.8641,6.81181,0.148064,275
1,6,1280,0,0,0.169248,321
2,6,1280,47.9084,6.56205,0.144584,276
3,6,1280,50.7731,5.7517,0.146224,273
1,6,1290,0,0,0.169248,321
2,6,1290,49.8746,6.45705,0.147872,274
3,6,1290,48.9979,5.70673,0.147408,275
1,6,1300,0,0,0.169248,321
2,6,1300,47.9751,6.76785,0.149504,276
3,6,1300,47.8117,7.07992,0.149776,276
1,6,1310,0,0,0.169248,321
2,6,1310,44.9244,6.30533,0.150176,280
3,6,1310,50.3459,5.8604,0.144512,274
1,6,1320,0,0,0.169248,321
2,6,1320,46.9263,6.09696,0.146624,277
3,6,1320,49.0074,6.409,0.153748,275
1,6,1330,0,0,0.169248,321
2,6,1330,48.074,5.81766,0.14912,276
3,6,1330,45.6663,6.07867,0.151344,278
1,6,1340,0,0,0.169248,321
2,6,1340,48.2371,6.63145,0.14616,276
3,6,1340,48.9092,5.95131,0.150832,277
1,6,1350,0,0,0.169248,321
2,6,1350,48.3207,6.15235,0.150368,273
3,6,1350,45.841,7.58762,0.151872,275
1,6,1360,0,0,0.169248,321
2,6,1360,45.0354,7.30823,0.150816,278
3,6,1360,47.0592,7.11755,0.15024,277
1,6,1370,0,0,0.169248,321
2,6,1370,49.5753,7.6111,0.153776,275
3,6,1370,47.2976,7.2667,0.15312,277
1,6,1380,0,0,0.169248,321
2,6,1380,46.2319,8.37553,0.156672,278
